Reference,Value,Footprint,Datasheet,Qty
"C1,C2,C5,C6,C7,C8,C9,C10",0.1uF,Ceramic Disc Capacitor,~,8
"C3,C4",47uF,Electrolytic Capacitor,~,2
"D1,D2",1N5819,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,http://www.vishay.com/docs/88525/1n5817.pdf,2
E1,Conn_01x10_Pin,EurorackPower_Shrouded,~,1
J1,JACK1,Connector_Molex: 2_1x02_P2.54mm_Vertical,~,1
J2,JACK2,Connector_Molex: 2_1x02_P2.54mm_Vertical,~,1
J3,JACK3,Connector_Molex: 2_1x02_P2.54mm_Vertical,~,1
J4,JACK4,Connector_Molex: 2_1x02_P2.54mm_Vertical,~,1
J5,JACK5,Connector_Molex: 2_1x02_P2.54mm_Vertical,~,1
J6,OUT 1,Connector_Molex: 2_1x02_P2.54mm_Vertical,~,1
J7,OUT 2,Connector_Molex: 2_1x02_P2.54mm_Vertical,~,1
J8,OUT 3,Connector_Molex: 2_1x02_P2.54mm_Vertical,~,1
"R1,R2",10,Metal Film 1/4 Resistor,~,2
"R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26",100K,Metal Film 1/4 Resistor,~,24
"R27,R28,R29",1K,Metal Film 1/4 Resistor,~,3
"SW1,SW2,SW3,SW4,SW5",SW_SPDT,SPDT-toggle-switch,~,5
"U1,U2,U3",TL072,DIP-8_W7.62mm_Socket_LongPads,http://www.ti.com/lit/ds/symlink/tl071.pdf,3
"VR1,VR2,VR3,VR4,VR5,VR6,VR7,VR8,VR9,VR10,VR11,VR12,VR13,VR14,VR15",100K,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,~,15
